File: run   12.05.20  04:18:51
Comment: run
                    P1Y374-L                                P1Y373-R                                
Time[secs]          Force[N]            Time[secs]          Force[N]            
       2.705           0.000                   2.705         867.680            
       2.710           0.000                   2.710         792.880            
       2.715           0.000                   2.715         725.560            
       2.720           0.000                   2.720         643.280            
       2.725           0.000                   2.725         575.960            
       2.730           0.000                   2.730         504.900            
       2.735           0.000                   2.735         430.100            
       2.740           0.000                   2.740         374.000            
       2.745           0.000                   2.745         310.420            
       2.750           0.000                   2.750         254.320            
       2.755           0.000                   2.755         209.440            
       2.760           0.000                   2.760         164.560            
       2.765           0.000                   2.765         123.420            
       2.770           0.000                   2.770          82.280            
